epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3945.13,1.26523,0.63911,0.76556,0.78637,0.52719,0.57466,0.35509,1.36785,0.76807,0.78345,0.000117079,0.000117079,0.000117079
90,4062.13,1.2539,0.64012,0.76746,0.76619,0.52921,0.56618,0.35489,1.36521,0.7768,0.78363,0.00010808,0.00010808,0.00010808
91,4179.45,1.26066,0.64505,0.76679,0.81908,0.51032,0.56838,0.34889,1.37133,0.77192,0.78574,9.9081e-05,9.9081e-05,9.9081e-05
92,4292.28,1.24849,0.63421,0.7715,0.82267,0.50546,0.56207,0.34579,1.38134,0.78647,0.78547,9.00819e-05,9.00819e-05,9.00819e-05
93,4415.84,1.2567,0.63495,0.765,0.83051,0.50588,0.56197,0.34714,1.37286,0.78113,0.78696,8.10828e-05,8.10828e-05,8.10828e-05
94,4537.91,1.24051,0.62405,0.77201,0.82319,0.51132,0.56515,0.35014,1.37119,0.77962,0.78536,7.20837e-05,7.20837e-05,7.20837e-05
95,4659.25,1.23674,0.6182,0.76246,0.82585,0.51449,0.56901,0.35039,1.37244,0.76816,0.78493,6.30846e-05,6.30846e-05,6.30846e-05
96,4781.38,1.25059,0.6177,0.76803,0.80487,0.51834,0.56752,0.35091,1.3703,0.77266,0.78588,5.40855e-05,5.40855e-05,5.40855e-05
97,4902.33,1.26095,0.62112,0.76702,0.82855,0.50962,0.56873,0.34998,1.37434,0.76916,0.78518,4.50864e-05,4.50864e-05,4.50864e-05
98,5024.97,1.23683,0.6222,0.7655,0.8061,0.51651,0.56753,0.34987,1.37793,0.77561,0.78597,3.60873e-05,3.60873e-05,3.60873e-05
99,5140.86,1.21053,0.59983,0.75938,0.83294,0.5037,0.56622,0.35072,1.37553,0.77165,0.78613,2.70882e-05,2.70882e-05,2.70882e-05
100,5257.07,1.23652,0.61017,0.76294,0.80201,0.5166,0.56659,0.35238,1.3774,0.77144,0.78561,1.80891e-05,1.80891e-05,1.80891e-05
